requirement_id,normative_strength,requirement,source_ids,decision_ids,owner,implementation_status,acceptance_id,test_id
FAC-REQ-001,MUST,"Facility, Tenant, and Organization identifiers remain stable through rename, transfer, restructuring, and closure.",SRC-006;SRC-010;SRC-018,FAC-FD-001;FAC-FD-008,FACILITY_TENANT_ORGANIZATION_PIA,DESIGN_CANDIDATE_NOT_AUTHORIZED,FAC-AC-001,FAC-TEST-001
FAC-REQ-002,MUST,"Facility, Tenant, Organization, Barn, and Business remain distinct concepts and are never silently aliased.",SRC-006;SRC-009;SRC-010;SRC-012,FAC-FD-001,FACILITY_TENANT_ORGANIZATION_PIA,DESIGN_CANDIDATE_NOT_AUTHORIZED,FAC-AC-002,FAC-TEST-002
FAC-REQ-003,MUST,"Every tenant-scoped object, request, event, job, cache, export, search record, and offline bundle is bound to exactly one tenant unless an explicit cross-tenant contract applies.",SRC-014;SRC-016;SRC-025;SRC-027,FAC-FD-002,FACILITY_TENANT_ORGANIZATION_PIA,DESIGN_CANDIDATE_NOT_AUTHORIZED,FAC-AC-003,FAC-TEST-003
FAC-REQ-004,MUST,"Organization-to-Tenant control is explicit, temporal, evidenced, and non-permission-bearing by itself.",SRC-010;SRC-012;SRC-013;SRC-015,FAC-FD-003,FACILITY_TENANT_ORGANIZATION_PIA,DESIGN_CANDIDATE_NOT_AUTHORIZED,FAC-AC-004,FAC-TEST-004
FAC-REQ-005,MUST,"Tenant-to-Facility association is explicit, temporal, purpose-scoped, and does not expose tenant-private projections to another tenant.",SRC-006;SRC-013;SRC-014;SRC-016,FAC-FD-004,FACILITY_TENANT_ORGANIZATION_PIA,DESIGN_CANDIDATE_NOT_AUTHORIZED,FAC-AC-005,FAC-TEST-005
FAC-REQ-006,MUST,Facility containment and non-containment topology are modeled separately with effective dates and lineage.,SRC-006,FAC-FD-005,FACILITY_TENANT_ORGANIZATION_PIA,DESIGN_CANDIDATE_NOT_AUTHORIZED,FAC-AC-006,FAC-TEST-006
FAC-REQ-007,MUST,"Aliases, historical names, splits, merges, and relocations preserve prior references and provenance.",SRC-006;SRC-017;SRC-018,FAC-FD-008;FAC-FD-015,FACILITY_TENANT_ORGANIZATION_PIA,DESIGN_CANDIDATE_NOT_AUTHORIZED,FAC-AC-007,FAC-TEST-007
FAC-REQ-008,MUST,"Facility association, organization type, role label, employment, lease, payment, contact, profile, ownership claim, or stewardship claim never independently grants permission.",SRC-012;SRC-013;SRC-014;SRC-015;SRC-016,FAC-FD-006;FAC-FD-011;FAC-FD-012,FACILITY_TENANT_ORGANIZATION_PIA,DESIGN_CANDIDATE_NOT_AUTHORIZED,FAC-AC-008,FAC-TEST-008
FAC-REQ-009,MUST,"Membership, staff assignment, representation, delegation, and guardianship remain Relationship-domain facts.",SRC-012;SRC-013;SRC-031,FAC-FD-011,FACILITY_TENANT_ORGANIZATION_PIA,DESIGN_CANDIDATE_NOT_AUTHORIZED,FAC-AC-009,FAC-TEST-009
FAC-REQ-010,MUST,"Permission decisions remain owned by Permission and consume only referenced, current topology facts.",SRC-014,FAC-FD-010,FACILITY_TENANT_ORGANIZATION_PIA,DESIGN_CANDIDATE_NOT_AUTHORIZED,FAC-AC-010,FAC-TEST-010
