artifact_name,artifact_id,version,hash_algorithm,artifact_hash,path,branch,commit,lifecycle_status,founder_approval_status,implementation_authority,primary_portfolio_position,dependent_positions,component,artifact_class,supersedes,superseded_by,discovery_basis,notes,file_count
EquineSync Product Implementation Atlas Master Standard V1.1,ES-PIA-MASTER-STANDARD-V1.1,1.1,SHA256,c751a73331d89eb4dd5d5ff3b059c81bb1d99284102c6f39a008aeb84620bbbc,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/source_evidence/controlling/EquineSync_Product_Implementation_Atlas_Master_Standard_V1_1.pdf,codex/identity-relationships-bounded-remediation-v1,3b17840aae3b0693e006e9378606c1ca1c11286a,FOUNDER_APPROVED_ADOPTED_AND_EFFECTIVE,FOUNDER_APPROVED_ADOPTED_AND_EFFECTIVE,FALSE,NONE,01;03,STANDARD,CONTROLLING_PIA_STANDARD,NONE,NONE,REPOSITORY_REF_SEARCH,Controlling substantive bytes; the separate adoption record controls lifecycle.,1
Founder Adoption and Approval Record - PIA Master Standard V1.1,ES-PIA-MASTER-STANDARD-V1.1-ADOPTION,1.0,SHA256,bd5d466494bf24d5ec6942b8f8c7b9248881d4d731a5861b020cef8a7d6ffcd8,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/source_evidence/adoption/Founder_Adoption_and_Approval_Record_ES_PIA_Master_Standard_V1_1.pdf,codex/identity-relationships-bounded-remediation-v1,3b17840aae3b0693e006e9378606c1ca1c11286a,EFFECTIVE_2026_07_19,FOUNDER_APPROVED_ADOPTED_AND_EFFECTIVE,FALSE,NONE,01;03,STANDARD,CONTROLLING_PIA_STANDARD,NONE,NONE,REPOSITORY_REF_SEARCH,Controlling adoption and effectiveness record.,1
Founder Adoption Record - PIA Framework Supplementary,ES-PIA-FRAMEWORK-SUPPLEMENTARY-ADOPTION,1.0,SHA256,2e177a6e6542ef2fc9c8f83515a23d03595fc344ed03162121903cd3097fbfec,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/source_evidence/adoption/Founder_Adoption_Record_PIA_Framework_Supplementary.pdf,codex/identity-relationships-bounded-remediation-v1,3b17840aae3b0693e006e9378606c1ca1c11286a,SUPPLEMENTARY_AUTHORITY,FOUNDER_ADOPTED_SUPPLEMENTARY_AUTHORITY,FALSE,NONE,01;03,STANDARD,CONTROLLING_PIA_STANDARD,NONE,NONE,REPOSITORY_REF_SEARCH,Supplementary definition and readiness authority.,1
Identity and Relationships Controlled Multi-Thread Review Handoff,ES-IDENTITY-RELATIONSHIPS-CONTROLLED-MULTI-THREAD-REVIEW-HANDOFF-V1.0.0,1.0.0,SHA256,91cdb1c24f13940814035036c2c76c7cec415945337edbf3778e2a77c4a140f6,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/frozen_predecessor/EquineSync_Identity_Relationships_Controlled_Multi_Thread_Review_Handoff_V1_0_0.zip,codex/identity-relationships-bounded-remediation-v1,3b17840aae3b0693e006e9378606c1ca1c11286a,FROZEN_REVIEW_INPUT,NO_APPROVAL_EFFECT,FALSE,01,03,CROSS_PIA_HANDOFF,PIA_HANDOFF_PACKAGE,NONE,NONE,REPOSITORY_REF_SEARCH,Frozen predecessor handoff; separate from the fresh successor review.,15
PIA Portfolio Realignment and Facility PIA Handoff,ES-PIA-PORTFOLIO-FACILITY-HANDOFF-V1.0.0,1.0.0,SHA256,e1cb2e95f4dc7dd40032c2d1c06b154f80f97a8613c01056ef8f1ab95b2a27dc,external-handoff://EquineSync_PIA_Portfolio_Realignment_and_Facility_PIA_Handoff_V1_0_0.zip,NOT_IN_REPOSITORY_AT_DISCOVERY,NOT_APPLICABLE,FOUNDER_DIRECTED_HANDOFF,FOUNDER_DIRECTED_NO_IMPLEMENTATION_AUTHORITY,FALSE,02,01;03;04;05;06;07;08;09;10,PORTFOLIO_AND_FACILITY_HANDOFF,PIA_HANDOFF_PACKAGE,NONE,NONE,FOUNDER_SUPPLIED_ARCHIVE,,12
Facility PIA Autonomous Drafting and Review Handoff,ES-FACILITY-PIA-AUTONOMOUS-DRAFT-REVIEW-HANDOFF-V1.0.0,1.0.0,SHA256,126df6bf4c53e3e5d93456683e054d49692ac1e127d7d3269ce23b3aaaf3435b,external-handoff://EquineSync_Facility_PIA_Autonomous_Drafting_Review_Handoff_V1_0_0.zip,NOT_IN_REPOSITORY_AT_DISCOVERY,NOT_APPLICABLE,READY_FOR_CODEX_CONTINUATION,NO_INDEPENDENT_APPROVAL_OR_IMPLEMENTATION_EFFECT,FALSE,02,01;03;04;05;06;07;08;09;10,FACILITY_DRAFT_REVIEW_HANDOFF,PIA_HANDOFF_PACKAGE,NONE,NONE,LOCAL_DOWNLOADS_DISCOVERY_AND_CHECKSUM_VERIFICATION,Discovered separately from the user-named handoff; its nested prior handoff matches the controlling ZIP exactly. Classified as evidence only and not treated as additional current authority.,5
Relationships ADR Recommendations,ES-ADR-REL-RECOMMENDATIONS-V1.0.0,1.0.0,SHA256,569f3fa4dbe605660dd9b9692765d38e5f03126b15dcd791427a1830aa922056,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/frozen_predecessor/EquineSync_Identity_Relationships_Controlled_Multi_Thread_Review_Handoff_V1_0_0.zip!EquineSync_Identity_Relationships_Controlled_Multi_Thread_Review_Handoff_V1_0_0/inputs/relationships/EquineSync_Relationships_ADR_Recommendations_V1_0_0.zip,codex/identity-relationships-bounded-remediation-v1,3b17840aae3b0693e006e9378606c1ca1c11286a,RECOMMENDATIONS_COMPLETE_PENDING_FOUNDER_APPROVAL,NOT_FOUNDER_APPROVED,FALSE,03,01,A,SUBORDINATE_ADR_OR_CONTRACT,NONE,NONE,RECURSIVE_ARCHIVE_INSPECTION,,14
Identity and Relationships Bounded Documentary Remediation,ES-REM-2026-001,1.0.0,GIT_SHA1_TREE,429c672ef85d496342a2d6e69e4812ede56d6a89,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001,codex/identity-relationships-bounded-remediation-v1,3b17840aae3b0693e006e9378606c1ca1c11286a,SUCCESSOR_CANDIDATE_PACKAGE_COMPLETE_PENDING_FRESH_SEGREGATED_REVIEW,NOT_FOUNDER_APPROVED,FALSE,01,03,CROSS_PIA,CROSS_PIA_REMEDIATION_PACKAGE,NONE,NONE,REPOSITORY_REF_SEARCH,No candidate ADR or redline has approval effect.,66
Identity and Relationships Controlled Review Result,ES-REV-2026-002,1.0.0,GIT_SHA1_TREE,6168bfd637a776cebcc58236fccf547c4c0fbdbd,governance/founder_orchestrated_review/temporary_non_agent_fallback/FORA-NONAGENT-FALLBACK-2026-001/reviews/ES-REV-2026-002,codex/identity-relationships-controlled-thread-review-v1,b8b46d80bebefca1ef42a10419479dd080126122,BOUNDED_REMEDIATION_REQUIRED,NO_APPROVAL_EFFECT,FALSE,01,03,CROSS_PIA,CROSS_PIA_REVIEW_PACKAGE,NONE,NONE,REPOSITORY_REF_SEARCH,,99
ADR-IDENTITY-001 formal candidate,ADR-IDENTITY-001,CANDIDATE,SHA256,3cb65be1ea5a069af41e725f9ce0d37f3c51f5b6413eb9cf11d96c5c1d270c52,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/candidate_adrs/identity/ADR-IDENTITY-001_FORMAL.md,codex/identity-relationships-bounded-remediation-v1,3b17840aae3b0693e006e9378606c1ca1c11286a,PENDING_FRESH_REVIEW_AND_RATIFICATION,NOT_FOUNDER_APPROVED,FALSE,01,03,PRIMARY,SUBORDINATE_ADR_OR_CONTRACT,NONE,NONE,REPOSITORY_REF_SEARCH,Candidate text only; no approval effect.,1
ADR-IDENTITY-002 formal candidate,ADR-IDENTITY-002,CANDIDATE,SHA256,605124062153e13054bd1b45b8f17d8fdd3dac2e48c2e2e7e25dab6dc1c2f857,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/candidate_adrs/identity/ADR-IDENTITY-002_FORMAL.md,codex/identity-relationships-bounded-remediation-v1,3b17840aae3b0693e006e9378606c1ca1c11286a,PENDING_FRESH_REVIEW_AND_RATIFICATION,NOT_FOUNDER_APPROVED,FALSE,01,03,PRIMARY,SUBORDINATE_ADR_OR_CONTRACT,NONE,NONE,REPOSITORY_REF_SEARCH,Candidate text only; no approval effect.,1
ADR-IDENTITY-003 formal candidate,ADR-IDENTITY-003,CANDIDATE,SHA256,715331d211718d649cc7d35423b65f31c9f6b9cbbb00c9a907a85ab8ce6296c9,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/candidate_adrs/identity/ADR-IDENTITY-003_FORMAL.md,codex/identity-relationships-bounded-remediation-v1,3b17840aae3b0693e006e9378606c1ca1c11286a,PENDING_FRESH_REVIEW_AND_RATIFICATION,NOT_FOUNDER_APPROVED,FALSE,01,03,PRIMARY,SUBORDINATE_ADR_OR_CONTRACT,NONE,NONE,REPOSITORY_REF_SEARCH,Candidate text only; no approval effect.,1
ADR-IDENTITY-004 formal candidate,ADR-IDENTITY-004,CANDIDATE,SHA256,4aaf23b75d8e70c9ca15952e9b2793bf88bbdd6d491851aa3c23f3bbb476b2e8,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/candidate_adrs/identity/ADR-IDENTITY-004_FORMAL.md,codex/identity-relationships-bounded-remediation-v1,3b17840aae3b0693e006e9378606c1ca1c11286a,PENDING_FRESH_REVIEW_AND_RATIFICATION,NOT_FOUNDER_APPROVED,FALSE,01,03,PRIMARY,SUBORDINATE_ADR_OR_CONTRACT,NONE,NONE,REPOSITORY_REF_SEARCH,Candidate text only; no approval effect.,1
ADR-IDENTITY-005 formal candidate,ADR-IDENTITY-005,CANDIDATE,SHA256,e5457b5c02700a55e44734875d4e2e4ed1415384e1e5b05235c9bb4b0242b210,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/candidate_adrs/identity/ADR-IDENTITY-005_FORMAL.md,codex/identity-relationships-bounded-remediation-v1,3b17840aae3b0693e006e9378606c1ca1c11286a,PENDING_FRESH_REVIEW_AND_RATIFICATION,NOT_FOUNDER_APPROVED,FALSE,01,03,PRIMARY,SUBORDINATE_ADR_OR_CONTRACT,NONE,NONE,REPOSITORY_REF_SEARCH,Candidate text only; no approval effect.,1
ADR-IDENTITY-006 formal candidate,ADR-IDENTITY-006,CANDIDATE,SHA256,098c4ed43d77ebd333816fcaaf932c739b5510f8d32132f80bd6dec78563676f,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/candidate_adrs/identity/ADR-IDENTITY-006_FORMAL.md,codex/identity-relationships-bounded-remediation-v1,3b17840aae3b0693e006e9378606c1ca1c11286a,PENDING_FRESH_REVIEW_AND_RATIFICATION,NOT_FOUNDER_APPROVED,FALSE,01,03,PRIMARY,SUBORDINATE_ADR_OR_CONTRACT,NONE,NONE,REPOSITORY_REF_SEARCH,Candidate text only; no approval effect.,1
ADR-IDENTITY-007 formal candidate,ADR-IDENTITY-007,CANDIDATE,SHA256,786bfd050d4acecf54b2aa8f9f077a65a29b22f83096c6ab6a2561c490ac0200,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/candidate_adrs/identity/ADR-IDENTITY-007_FORMAL.md,codex/identity-relationships-bounded-remediation-v1,3b17840aae3b0693e006e9378606c1ca1c11286a,PENDING_FRESH_REVIEW_AND_RATIFICATION,NOT_FOUNDER_APPROVED,FALSE,01,03,PRIMARY,SUBORDINATE_ADR_OR_CONTRACT,NONE,NONE,REPOSITORY_REF_SEARCH,Candidate text only; no approval effect.,1
ADR-REL-001 formal candidate,ADR-REL-001,CANDIDATE,SHA256,b4fd9433e92206d29d32594630b49bd81cd41e8665c8a74ceb5bb8d7285c42bd,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/candidate_adrs/relationships/ADR-REL-001_FORMAL.md,codex/identity-relationships-bounded-remediation-v1,3b17840aae3b0693e006e9378606c1ca1c11286a,PENDING_FRESH_REVIEW_AND_RATIFICATION,NOT_FOUNDER_APPROVED,FALSE,03,01,A,SUBORDINATE_ADR_OR_CONTRACT,NONE,NONE,REPOSITORY_REF_SEARCH,Candidate text only; no approval effect.,1
ADR-REL-002 formal candidate,ADR-REL-002,CANDIDATE,SHA256,005e54548e7445ce999ee4084376266342c9b940e6fd68128a775b2a6c582148,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/candidate_adrs/relationships/ADR-REL-002_FORMAL.md,codex/identity-relationships-bounded-remediation-v1,3b17840aae3b0693e006e9378606c1ca1c11286a,PENDING_FRESH_REVIEW_AND_RATIFICATION,NOT_FOUNDER_APPROVED,FALSE,03,01,A,SUBORDINATE_ADR_OR_CONTRACT,NONE,NONE,REPOSITORY_REF_SEARCH,Candidate text only; no approval effect.,1
ADR-REL-003 formal candidate,ADR-REL-003,CANDIDATE,SHA256,d74916632a5df5d7d82c40ab9d3e82a7d2f71ef62773185371bca505370fa8a6,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/candidate_adrs/relationships/ADR-REL-003_FORMAL.md,codex/identity-relationships-bounded-remediation-v1,3b17840aae3b0693e006e9378606c1ca1c11286a,PENDING_FRESH_REVIEW_AND_RATIFICATION,NOT_FOUNDER_APPROVED,FALSE,03,01,A,SUBORDINATE_ADR_OR_CONTRACT,NONE,NONE,REPOSITORY_REF_SEARCH,Candidate text only; no approval effect.,1
ADR-REL-004 formal candidate,ADR-REL-004,CANDIDATE,SHA256,c9ff14501c69d78fa47bf291a317639fe4429babbffbb8b94c754c4617d9d4b2,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/candidate_adrs/relationships/ADR-REL-004_FORMAL.md,codex/identity-relationships-bounded-remediation-v1,3b17840aae3b0693e006e9378606c1ca1c11286a,PENDING_FRESH_REVIEW_AND_RATIFICATION,NOT_FOUNDER_APPROVED,FALSE,03,01,A,SUBORDINATE_ADR_OR_CONTRACT,NONE,NONE,REPOSITORY_REF_SEARCH,Candidate text only; no approval effect.,1
